segment_id,year,factor,score
PHOT,2023,strategic_fit,46.2
PHOT,2023,talent_availability,29.8
PHOT,2024,competitive_intensity,45.2
PHOT,2024,customer_demand,69.1
PHOT,2024,entry_feasibility,42.3
PHOT,2024,strategic_fit,49.4
PHOT,2024,talent_availability,30.9
PHOT,2025,competitive_intensity,45.2
PHOT,2025,customer_demand,69.8
PHOT,2025,entry_feasibility,42.7
PHOT,2025,strategic_fit,47.8
PHOT,2025,talent_availability,29.3
PHOT,2026,competitive_intensity,46.9
PHOT,2026,customer_demand,72.2
PHOT,2026,entry_feasibility,43.1
PHOT,2026,strategic_fit,50.0
PHOT,2026,talent_availability,32.1
PHOT,2027,competitive_intensity,49.1
PHOT,2027,customer_demand,77.6
PHOT,2027,entry_feasibility,45.1
PHOT,2027,strategic_fit,48.2
PHOT,2027,talent_availability,33.8
PHOT,2028,competitive_intensity,50.9
PHOT,2028,customer_demand,79.2
PHOT,2028,entry_feasibility,45.8
PHOT,2028,strategic_fit,53.2
PHOT,2028,talent_availability,36.5
PHOT,2029,competitive_intensity,51.5
PHOT,2029,customer_demand,80.5
PHOT,2029,entry_feasibility,48.0
PHOT,2029,strategic_fit,53.2
PHOT,2029,talent_availability,35.8
PHOT,2030,competitive_intensity,52.2
PHOT,2030,customer_demand,84.9
PHOT,2030,entry_feasibility,45.8
PHOT,2030,strategic_fit,53.5
PHOT,2030,talent_availability,34.7
PWR,2021,competitive_intensity,44.0
PWR,2021,customer_demand,74.0
PWR,2021,entry_feasibility,67.0
PWR,2021,strategic_fit,62.1
PWR,2021,talent_availability,46.8
PWR,2022,competitive_intensity,46.2
PWR,2022,customer_demand,74.5
PWR,2022,entry_feasibility,64.4
PWR,2022,strategic_fit,62.4
PWR,2022,talent_availability,48.2
PWR,2023,competitive_intensity,49.7
PWR,2023,customer_demand,78.9
PWR,2023,entry_feasibility,65.6
PWR,2023,strategic_fit,62.8
PWR,2023,talent_availability,49.0
PWR,2024,competitive_intensity,50.7
PWR,2024,customer_demand,80.6
PWR,2024,entry_feasibility,65.1
PWR,2024,strategic_fit,62.6
PWR,2024,talent_availability,51.4
PWR,2025,competitive_intensity,53.2
PWR,2025,customer_demand,79.7
PWR,2025,entry_feasibility,60.7
PWR,2025,strategic_fit,64.7
PWR,2025,talent_availability,48.6
PWR,2026,competitive_intensity,52.7
PWR,2026,customer_demand,83.3
PWR,2026,entry_feasibility,60.3
PWR,2026,strategic_fit,64.2
PWR,2026,talent_availability,53.0
PWR,2027,competitive_intensity,55.0
PWR,2027,customer_demand,84.4
PWR,2027,entry_feasibility,63.9
PWR,2027,strategic_fit,66.4
PWR,2027,talent_availability,52.8
PWR,2028,competitive_intensity,71.0
PWR,2028,customer_demand,82.3
PWR,2028,entry_feasibility,60.9
PWR,2028,strategic_fit,67.0
PWR,2028,talent_availability,53.6
PWR,2029,competitive_intensity,83.3
PWR,2029,customer_demand,80.1
PWR,2029,entry_feasibility,60.8
PWR,2029,strategic_fit,64.8
PWR,2029,talent_availability,57.3
PWR,2030,competitive_intensity,94.0
PWR,2030,customer_demand,81.2
PWR,2030,entry_feasibility,61.1
PWR,2030,strategic_fit,68.5
PWR,2030,talent_availability,57.4
RF5G,2021,competitive_intensity,72.0
RF5G,2021,customer_demand,70.4
RF5G,2021,entry_feasibility,59.2
RF5G,2021,strategic_fit,68.4
RF5G,2021,talent_availability,59.2
RF5G,2022,competitive_intensity,72.9
RF5G,2022,customer_demand,68.6
RF5G,2022,entry_feasibility,59.3
RF5G,2022,strategic_fit,67.0
RF5G,2022,talent_availability,63.9
RF5G,2023,competitive_intensity,72.8
RF5G,2023,customer_demand,68.0
RF5G,2023,entry_feasibility,60.8
RF5G,2023,strategic_fit,67.6
RF5G,2023,talent_availability,63.5
RF5G,2024,competitive_intensity,73.3
RF5G,2024,customer_demand,67.3
RF5G,2024,entry_feasibility,59.3
RF5G,2024,strategic_fit,69.2
RF5G,2024,talent_availability,62.8
RF5G,2025,competitive_intensity,74.4
RF5G,2025,customer_demand,67.9
RF5G,2025,entry_feasibility,59.0
RF5G,2025,strategic_fit,67.7
RF5G,2025,talent_availability,66.7
RF5G,2026,competitive_intensity,75.0
RF5G,2026,customer_demand,64.9
RF5G,2026,entry_feasibility,60.8
RF5G,2026,strategic_fit,69.8
RF5G,2026,talent_availability,64.0
RF5G,2027,competitive_intensity,75.2
RF5G,2027,customer_demand,65.6
RF5G,2027,entry_feasibility,58.0
RF5G,2027,strategic_fit,69.9
RF5G,2027,talent_availability,63.8
RF5G,2028,competitive_intensity,75.5
RF5G,2028,customer_demand,64.3
RF5G,2028,entry_feasibility,59.1
RF5G,2028,strategic_fit,72.1
RF5G,2028,talent_availability,67.6
RF5G,2029,competitive_intensity,75.6
RF5G,2029,customer_demand,64.3
RF5G,2029,entry_feasibility,59.1
RF5G,2029,strategic_fit,71.9
RF5G,2029,talent_availability,67.3
RF5G,2030,competitive_intensity,76.0
RF5G,2030,customer_demand,64.9
RF5G,2030,entry_feasibility,58.6
RF5G,2030,strategic_fit,71.2
RF5G,2030,talent_availability,68.2
