segment_id,year,market_size_usd_bn,cagr_pct,design_services_addressable_pct,serviceable_market_usd_bn,competitive_intensity,customer_demand,entry_feasibility,strategic_fit,talent_availability,design_cycle_months
PWR,2027,44.363,16.5,0.1833,8.1317,55.0,84.4,63.9,66.4,52.8,14.3
PWR,2028,52.713,14.67,0.1856,9.7835,71.0,82.3,60.9,67.0,53.6,14.6
PWR,2029,61.037,12.83,0.1878,11.4627,83.3,80.1,60.8,64.8,57.3,14.8
PWR,2030,69.402,11.0,0.19,13.1864,94.0,81.2,61.1,68.5,57.4,15.0
RF5G,2021,27.292,9.0,0.15,4.0938,72.0,70.4,59.2,68.4,59.2,11.5
RF5G,2022,28.96,8.71,0.1522,4.4077,72.9,68.6,59.3,67.0,63.9,11.6
RF5G,2023,29.441,8.42,0.1544,4.5457,72.8,68.0,60.8,67.6,63.5,11.7
RF5G,2024,33.92,8.13,0.1567,5.3153,73.3,67.3,59.3,69.2,62.8,11.8
RF5G,2025,37.869,7.84,0.1589,6.0174,74.4,67.9,59.0,67.7,66.7,11.9
RF5G,2026,40.122,7.56,0.1611,6.4637,75.0,64.9,60.8,69.8,64.0,12.1
RF5G,2027,41.902,7.27,0.1633,6.8426,75.2,65.6,58.0,69.9,63.8,12.2
RF5G,2028,45.864,6.98,0.1656,7.5951,75.5,64.3,59.1,72.1,67.6,12.3
RF5G,2029,49.652,6.69,0.1678,8.3316,75.6,64.3,59.1,71.9,67.3,12.4
RF5G,2030,51.908,6.4,0.17,8.8244,76.0,64.9,58.6,71.2,68.2,12.5
